date,ticker,price
2025-05-09,AAPL,100.34126944778203
2025-05-10,AAPL,99.42544811775267
2025-05-11,AAPL,99.5498572179558
2025-05-12,AAPL,99.29550284570544
2025-05-13,AAPL,100.14279793001884
2025-05-14,AAPL,99.93204322932672
2025-05-15,AAPL,100.93137293560777
2025-05-16,AAPL,101.33134863551595
2025-05-17,AAPL,101.51840197532519
2025-05-18,AAPL,100.37177957799028
2025-05-19,AAPL,100.19965093392125
2025-05-20,AAPL,99.1880973693118
2025-05-21,AAPL,100.85663992398298
2025-05-22,AAPL,100.85126952803185
2025-05-23,AAPL,98.918314565618
2025-05-24,AAPL,97.82853808247181
2025-05-25,AAPL,97.1763817363395
2025-05-26,AAPL,97.69174159600279
2025-05-27,AAPL,100.18345163091469
2025-05-28,AAPL,101.16528611506989
